================ Precision Log (Fri Apr 11 16:02:27 2025) ================
Epoch:630  sam 2.500539541244507,psnr 34.60958480834961,ergas 0.511160135316392,cc 0.9757792290875617,rmse 0.015627994956746424,Ssim 0.9528348622932167,Uqi 0.9970416139206139
Epoch:640  sam 2.3841166496276855,psnr 34.240745544433594,ergas 0.5282180591010862,cc 0.9752825536970303,rmse 0.016217789759064412,Ssim 0.9487422472306368,Uqi 0.9968687116452286
Epoch:650  sam 2.318105459213257,psnr 33.11695098876953,ergas 0.5814235006630967,cc 0.9742821070693478,rmse 0.018240275555463214,Ssim 0.949611383964725,Uqi 0.995462514792807
Epoch:660  sam 2.227250099182129,psnr 34.139305114746094,ergas 0.5202324110914307,cc 0.9790514532579041,rmse 0.016343168505274036,Ssim 0.9551627558682751,Uqi 0.9970708608727576
Epoch:670  sam 2.4996604919433594,psnr 33.31830596923828,ergas 0.5856873981374753,cc 0.9784049253060153,rmse 0.018829327551048852,Ssim 0.9568713060449733,Uqi 0.995741730609129
Epoch:680  sam 2.491525888442993,psnr 34.615962982177734,ergas 0.5165180535818829,cc 0.9792592214209991,rmse 0.015930343248605094,Ssim 0.9572726829800465,Uqi 0.9971273830478161
Epoch:690  sam 2.3877079486846924,psnr 34.14533996582031,ergas 0.5180357287117497,cc 0.9801882381939264,rmse 0.016653821257154092,Ssim 0.9595187278083038,Uqi 0.996782557757448
Epoch:700  sam 3.0543220043182373,psnr 33.63188552856445,ergas 0.5817310638849288,cc 0.9770578650236347,rmse 0.018396087646006552,Ssim 0.9559075109028383,Uqi 0.9960357141751073
Epoch:710  sam 2.7665107250213623,psnr 34.06021499633789,ergas 0.5579020101729749,cc 0.9789450030755333,rmse 0.016961327499096103,Ssim 0.953948109400364,Uqi 0.996204463401278
Epoch:720  sam 2.4472179412841797,psnr 35.1931037902832,ergas 0.4733362075845216,cc 0.97911811349955,rmse 0.014870318884096439,Ssim 0.9583584126117346,Uqi 0.9976219714740504
Epoch:730  sam 2.3147683143615723,psnr 33.260318756103516,ergas 0.5820158551518964,cc 0.97941609531009,rmse 0.01848276536947501,Ssim 0.9581440534881696,Uqi 0.9958651265663024
Epoch:740  sam 2.5406930446624756,psnr 33.68781280517578,ergas 0.5710584299343872,cc 0.9790179197420978,rmse 0.01705618493355552,Ssim 0.958821864776355,Uqi 0.9960127436300835
Epoch:750  sam 2.7484116554260254,psnr 34.29719924926758,ergas 0.5263255177484801,cc 0.9794182295887791,rmse 0.01762793023929965,Ssim 0.9578883777943468,Uqi 0.9968543446272536
Epoch:760  sam 2.2963736057281494,psnr 33.60488510131836,ergas 0.5527397208034844,cc 0.9797217359291202,rmse 0.01832045422770427,Ssim 0.9585908086823826,Uqi 0.9963563081360592
Epoch:770  sam 2.6143879890441895,psnr 34.92586135864258,ergas 0.48996793013660095,cc 0.9810572472245473,rmse 0.015599969351411237,Ssim 0.9600688296097798,Uqi 0.9974023589087477
Epoch:780  sam 2.5776262283325195,psnr 34.84803009033203,ergas 0.4890782952704821,cc 0.9791943190395441,rmse 0.01581804185280443,Ssim 0.9605151886230061,Uqi 0.9973876988862294
Epoch:790  sam 2.119455099105835,psnr 35.862857818603516,ergas 0.43929971591052724,cc 0.9810874012328654,rmse 0.013767312193959089,Ssim 0.9627602048604039,Uqi 0.997913855281052
Epoch:800  sam 2.4029343128204346,psnr 34.67169952392578,ergas 0.4891713425090668,cc 0.9818463147916788,rmse 0.016365584850792828,Ssim 0.963076394354919,Uqi 0.9972694442678944
Epoch:810  sam 2.5970957279205322,psnr 32.83074951171875,ergas 0.6621075690779903,cc 0.9805774915514269,rmse 0.018780354861573055,Ssim 0.9616434669052099,Uqi 0.9942439034248958
Epoch:820  sam 2.194633960723877,psnr 34.999576568603516,ergas 0.47945722098258187,cc 0.9802860162458271,rmse 0.014846537103015981,Ssim 0.9598682506970994,Uqi 0.9975856886069229
Epoch:830  sam 2.2542710304260254,psnr 35.68509292602539,ergas 0.442139561665279,cc 0.9820868536274886,rmse 0.013791480213487237,Ssim 0.9633706187640491,Uqi 0.9978797322125091
Epoch:840  sam 2.0975680351257324,psnr 36.33638381958008,ergas 0.4192961323882088,cc 0.9821693099457688,rmse 0.013135384486941968,Ssim 0.9645051787042903,Uqi 0.9982062527416636
Epoch:850  sam 2.0557892322540283,psnr 35.70895004272461,ergas 0.4415387879825656,cc 0.9817206497217315,rmse 0.014085627316419139,Ssim 0.96439007201531,Uqi 0.9980348342642382
Epoch:860  sam 2.023160219192505,psnr 36.06841278076172,ergas 0.42512705061868716,cc 0.9827323036609642,rmse 0.013501155062547175,Ssim 0.9651714966012243,Uqi 0.9981725180945118
Epoch:870  sam 2.05562424659729,psnr 36.55073547363281,ergas 0.4081654242665526,cc 0.9830435660704882,rmse 0.012885652328183912,Ssim 0.9657153571715981,Uqi 0.9983293501822841
Epoch:880  sam 2.906433343887329,psnr 33.9653434753418,ergas 0.5552835726880467,cc 0.9818298053077996,rmse 0.019893029250640706,Ssim 0.9633729398528366,Uqi 0.9962354687314202
Epoch:890  sam 2.3633663654327393,psnr 35.09413528442383,ergas 0.4875244012938096,cc 0.9813764967010561,rmse 0.01509757517241185,Ssim 0.9638310240874497,Uqi 0.9974024738169567
Epoch:900  sam 2.382420301437378,psnr 35.3767204284668,ergas 0.45786293105507897,cc 0.9810580208846196,rmse 0.014756935136247745,Ssim 0.9638768144389803,Uqi 0.9977796149484156
Epoch:910  sam 2.403960704803467,psnr 35.675559997558594,ergas 0.4472027796850737,cc 0.9823633065995013,rmse 0.01432512568126763,Ssim 0.964665075523589,Uqi 0.9978743523834479
Epoch:920  sam 2.0995395183563232,psnr 34.531524658203125,ergas 0.4955047579327056,cc 0.9824125712417066,rmse 0.016196641543580716,Ssim 0.9643684457491305,Uqi 0.9972040973501541
Epoch:930  sam 2.0653724670410156,psnr 35.72303771972656,ergas 0.43704942721156154,cc 0.9830372564506754,rmse 0.01402692651631255,Ssim 0.9663081543940707,Uqi 0.9978389294339622
Epoch:940  sam 2.0106868743896484,psnr 36.22504806518555,ergas 0.42085048339065784,cc 0.9826917642426695,rmse 0.013266031248692902,Ssim 0.9663085622023151,Uqi 0.9981858774382708
Epoch:950  sam 2.0749459266662598,psnr 34.69767379760742,ergas 0.482675535584865,cc 0.9832752785476923,rmse 0.015610964401197308,Ssim 0.9659242538399431,Uqi 0.9970907999861045
Epoch:960  sam 2.1429450511932373,psnr 35.462799072265625,ergas 0.4641695454150293,cc 0.9830121461848038,rmse 0.014567488012741261,Ssim 0.9654135820620503,Uqi 0.9976772685155056
Epoch:970  sam 2.05664324760437,psnr 35.496028900146484,ergas 0.45418978910565255,cc 0.9826764147263775,rmse 0.014207609845789367,Ssim 0.9666130099526817,Uqi 0.9975130315748072
Epoch:980  sam 2.000150680541992,psnr 34.402889251708984,ergas 0.5007258773603225,cc 0.9829958017554034,rmse 0.015886966866702313,Ssim 0.9648834017701817,Uqi 0.997210576558698
Epoch:990  sam 2.089442491531372,psnr 34.20064926147461,ergas 0.5202950138449652,cc 0.9829088692476317,rmse 0.016365425977728006,Ssim 0.9667460518526974,Uqi 0.9967032968234831
Epoch:1000  sam 2.039367437362671,psnr 36.223758697509766,ergas 0.41750643086276656,cc 0.9827322032299501,rmse 0.013424987078076963,Ssim 0.9668511274643699,Uqi 0.9981038992559093
Epoch:1010  sam 1.9573911428451538,psnr 35.73195266723633,ergas 0.4385300805013449,cc 0.9834827421087837,rmse 0.014124421660105238,Ssim 0.9674045675773111,Uqi 0.9978645694506516
Epoch:1020  sam 1.957293152809143,psnr 35.81361770629883,ergas 0.43785206365478885,cc 0.9837757627844729,rmse 0.013643294596075307,Ssim 0.966759782319899,Uqi 0.9979084838009207
